RowNames,p4075,p4076,p4077,p4078,p4079,p4080
JL0787,1.02,1.14,1.17,1.08,0.9,1.04
JL0819,0.98,1.06,0.88,0.97,0.85,1.1
JL0851,1.09,1.01,1.04,1.08,1.1,1.29
JL0883,0.96,1.53,1.26,0.76,0.91,1.33
BA0271,0.92,0.91,1.13,1.08,1.14,1.18
BA0287,0.75,1.14,1.04,1.26,0.88,1.49
BA0309,1,0.74,0.68,0.97,0.97,0.92
BA0339,0.96,1.34,0.95,0.94,0.84,1.36
BA0369,0.92,0.96,0.99,0.96,1.13,0.91
JL0727,1.01,1.15,1.05,0.89,1.01,1.2
JL0757,0.91,0.94,1.67,1.15,0.87,1.13
JL0789,0.97,1.01,0.98,0.93,0.97,1.15
JL0821,1.27,1.13,0.85,0.87,1.1,0.97
JL0853,1.12,1,1.06,1.02,0.96,0.81
JL0885,1.12,1.27,1.21,0.9,1,1.26
BA0273,0.96,1.4,0.9,0.91,0.95,1.43
BA0311,1.17,0.87,0.92,0.97,0.99,0.95
BA0341,1.19,1.24,0.83,0.95,1.09,1.53
JL0729,1.2,1.13,1.08,0.98,0.95,1.08
JL0759,1.09,1.16,1.09,1.08,0.8,1.21
JL0791,0.98,0.91,1.03,0.93,1.01,1.13
JL0823,1.29,1.61,0.66,0.81,0.99,1.04
JL0855,0.88,1.25,0.88,0.9,0.69,0.99
JL0887,1.01,1.21,1.08,1.14,0.9,1.29
BA0275,1.17,1.09,1.21,1.18,0.84,1.2
BA0289,1.12,0.97,0.8,1.02,0.9,0.97
BA0343,0.94,1.02,0.62,0.92,0.97,1
